date,temperature_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2026-01-01T00:00,-1.5,2.6,106,5.4
2026-01-01T01:00,-1.9,3.6,131,6.8
2026-01-01T02:00,-2.1,3.3,112,8.3
2026-01-01T03:00,-2.0,4.2,97,9.0
2026-01-01T04:00,-2.0,4.2,100,10.1
2026-01-01T05:00,-2.0,3.9,103,10.4
2026-01-01T06:00,-2.0,4.2,115,11.9
2026-01-01T07:00,-2.2,3.9,118,11.9
2026-01-01T08:00,-1.9,4.9,126,11.5
2026-01-01T09:00,-1.9,5.2,112,13.3
2026-01-01T10:00,-1.9,4.2,137,13.3
2026-01-01T11:00,-0.9,6.3,125,15.1
2026-01-01T12:00,1.0,6.8,122,16.9
2026-01-01T13:00,3.2,5.4,124,18.7
2026-01-01T14:00,4.0,7.1,137,15.5
2026-01-01T15:00,4.7,2.3,113,16.6
2026-01-01T16:00,5.2,1.2,63,10.4
2026-01-01T17:00,5.2,0.7,346,7.9
2026-01-01T18:00,3.9,3.1,332,5.8
2026-01-01T19:00,1.9,4.2,355,7.6
2026-01-01T20:00,1.0,3.9,16,7.2
2026-01-01T21:00,0.4,5.4,40,11.5
2026-01-01T22:00,-0.2,4.3,62,10.1
2026-01-01T23:00,-1.1,2.8,75,8.3
2026-01-02T00:00,-1.3,4.5,95,9.4
2026-01-02T01:00,-1.0,3.0,76,10.4
2026-01-02T02:00,-0.9,2.9,90,12.2
2026-01-02T03:00,-1.0,3.9,24,9.0
2026-01-02T04:00,-1.5,5.8,20,12.6
2026-01-02T05:00,-1.6,3.6,20,12.6
2026-01-02T06:00,-1.6,1.3,106,10.1
2026-01-02T07:00,-1.7,1.5,76,7.2
2026-01-02T08:00,-1.7,1.5,225,7.2
2026-01-02T09:00,-2.0,1.9,22,7.2
2026-01-02T10:00,-1.8,2.3,32,8.6
2026-01-02T11:00,-1.5,2.7,48,10.8
2026-01-02T12:00,-0.9,1.4,50,11.5
2026-01-02T13:00,-0.1,1.3,344,10.4
2026-01-02T14:00,0.6,2.8,18,14.0
2026-01-02T15:00,1.1,2.4,351,10.8
2026-01-02T16:00,1.1,2.8,333,10.1
2026-01-02T17:00,1.1,3.8,319,8.6
2026-01-02T18:00,0.8,4.3,287,8.3
2026-01-02T19:00,0.6,4.2,290,7.9
2026-01-02T20:00,0.6,2.9,266,7.6
2026-01-02T21:00,1.0,5.1,278,10.4
2026-01-02T22:00,1.1,4.5,284,9.7
2026-01-02T23:00,1.2,5.5,337,9.7
2026-01-03T00:00,1.1,5.6,354,10.1
2026-01-03T01:00,1.0,4.4,341,9.7
2026-01-03T02:00,1.4,5.1,350,9.0
2026-01-03T03:00,1.0,3.9,347,9.7
2026-01-03T04:00,0.5,6.0,357,12.2
2026-01-03T05:00,-0.2,4.8,347,12.6
2026-01-03T06:00,-0.5,2.7,312,10.1
2026-01-03T07:00,-0.8,3.0,327,6.5
2026-01-03T08:00,-1.2,2.3,315,6.8
2026-01-03T09:00,-1.3,2.2,294,5.4
2026-01-03T10:00,-1.4,3.0,287,6.5
2026-01-03T11:00,-0.4,3.6,330,10.8
2026-01-03T12:00,0.7,3.3,324,11.9
2026-01-03T13:00,2.0,3.4,313,12.6
2026-01-03T14:00,2.7,5.3,315,13.7
2026-01-03T15:00,3.2,5.4,304,15.5
2026-01-03T16:00,3.5,5.9,288,15.5
2026-01-03T17:00,3.7,6.1,284,15.8
2026-01-03T18:00,3.2,5.2,276,14.8
